French,English
chercher,search
seulement,only
demande,request
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
compris,understood
savais,knew
étaient,were
pourrais,could
affaire,case
leurs,their
train,train
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
enfant,child
pardon,sorry
devant,in front of
belle,beautiful
aimerais,would like to
espère,hope
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
plutôt,rather
aura,will have
filles,girls
jouer,to play
